EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,SatisfactionCategory,AvgSatisfaction,SatisfactionID
4,2,4,1,High,3.3333333333333335,93
3,4,3,1,High,3.3333333333333335,94
3,4,2,1,Medium,3.0,95
1,3,1,3,Low,1.6666666666666667,96
1,4,3,4,Medium,2.6666666666666665,97
3,3,1,3,Medium,2.3333333333333335,98
3,1,1,4,Low,1.6666666666666667,99
4,2,3,2,Medium,3.0,100
3,4,1,4,Medium,2.6666666666666665,101
2,4,3,2,Medium,3.0,102
4,2,4,3,High,3.3333333333333335,103
2,2,4,2,Medium,2.6666666666666665,104
4,1,3,3,Medium,2.6666666666666665,105
4,2,3,3,Medium,3.0,106
4,2,4,2,High,3.3333333333333335,107
2,1,1,2,Low,1.3333333333333333,108
4,4,1,1,Medium,3.0,109
4,3,4,4,High,3.6666666666666665,110
3,4,3,4,High,3.3333333333333335,111
2,4,4,2,High,3.3333333333333335,112
4,2,1,2,Medium,2.3333333333333335,113
2,4,1,3,Medium,2.3333333333333335,114
4,4,4,1,High,4.0,115
2,2,4,1,Medium,2.6666666666666665,116
4,2,4,4,High,3.3333333333333335,117
3,3,1,4,Medium,2.3333333333333335,118
1,3,4,4,Medium,2.6666666666666665,119
4,3,4,1,High,3.6666666666666665,120
4,1,2,3,Medium,2.3333333333333335,121
1,3,2,3,Low,2.0,122
3,2,2,4,Medium,2.3333333333333335,123
1,3,3,1,Medium,2.3333333333333335,124
1,2,2,3,Low,1.6666666666666667,125
2,1,4,3,Medium,2.3333333333333335,126
3,4,2,3,Medium,3.0,127
3,4,2,4,Medium,3.0,128
4,3,1,4,Medium,2.6666666666666665,129
1,1,3,3,Low,1.6666666666666667,130
3,2,1,1,Low,2.0,131
3,2,4,4,Medium,3.0,132
4,2,2,3,Medium,2.6666666666666665,133
2,4,2,2,Medium,2.6666666666666665,134
1,1,4,3,Low,2.0,135
1,1,1,3,Low,1.0,136
3,2,1,2,Low,2.0,137
1,4,3,2,Medium,2.6666666666666665,138
1,4,4,2,Medium,3.0,139
3,3,2,4,Medium,2.6666666666666665,140
4,2,1,3,Medium,2.3333333333333335,141
1,3,2,1,Low,2.0,142
4,3,2,4,Medium,3.0,143
3,3,3,4,Medium,3.0,144
1,4,2,2,Medium,2.3333333333333335,145
2,3,2,3,Medium,2.3333333333333335,146
4,1,3,2,Medium,2.6666666666666665,147
2,1,2,1,Low,1.6666666666666667,148
3,1,4,2,Medium,2.6666666666666665,149
1,1,4,1,Low,2.0,150
1,4,2,1,Medium,2.3333333333333335,151
3,1,4,4,Medium,2.6666666666666665,152
2,3,4,4,Medium,3.0,153
2,4,3,4,Medium,3.0,154
4,1,4,2,Medium,3.0,155
4,2,2,4,Medium,2.6666666666666665,156
4,4,2,4,High,3.3333333333333335,157
2,4,4,4,High,3.3333333333333335,158
1,2,4,4,Medium,2.3333333333333335,159
2,1,3,4,Low,2.0,160
2,1,3,1,Low,2.0,161
1,4,4,4,Medium,3.0,162
4,1,1,1,Low,2.0,163
1,3,2,4,Low,2.0,164
4,4,1,4,Medium,3.0,165
4,1,4,4,Medium,3.0,166
2,3,1,2,Low,2.0,167
3,2,3,4,Medium,2.6666666666666665,168
3,3,4,4,High,3.3333333333333335,169
3,4,4,2,High,3.6666666666666665,170
3,2,3,1,Medium,2.6666666666666665,171
4,1,1,4,Low,2.0,172
4,3,2,1,Medium,3.0,173
1,1,2,3,Low,1.3333333333333333,174
4,2,3,4,Medium,3.0,175
1,4,3,1,Medium,2.6666666666666665,176
1,2,3,4,Low,2.0,177
2,3,1,4,Low,2.0,178
4,1,4,1,Medium,3.0,179
1,2,3,2,Low,2.0,180
1,2,2,2,Low,1.6666666666666667,181
4,4,3,1,High,3.6666666666666665,182
3,1,3,4,Medium,2.3333333333333335,183
3,2,4,1,Medium,3.0,184
4,1,1,3,Low,2.0,185
1,2,1,1,Low,1.3333333333333333,186
2,4,3,1,Medium,3.0,187
1,3,2,2,Low,2.0,188
3,1,2,2,Low,2.0,189
3,1,2,4,Low,2.0,190
3,3,1,2,Medium,2.3333333333333335,191
1,2,1,3,Low,1.3333333333333333,192
4,2,2,2,Medium,2.6666666666666665,193
3,3,2,1,Medium,2.6666666666666665,194
2,3,3,2,Medium,2.6666666666666665,195
1,1,1,1,Low,1.0,196
4,2,1,1,Medium,2.3333333333333335,197
2,2,2,4,Low,2.0,198
4,3,1,1,Medium,2.6666666666666665,199
1,2,2,4,Low,1.6666666666666667,200
4,1,3,4,Medium,2.6666666666666665,201
2,2,3,2,Medium,2.3333333333333335,202
4,2,1,4,Medium,2.3333333333333335,203
1,1,3,4,Low,1.6666666666666667,204
2,4,1,4,Medium,2.3333333333333335,205
4,3,2,2,Medium,3.0,206
3,1,3,1,Medium,2.3333333333333335,207
2,1,2,4,Low,1.6666666666666667,208
3,3,1,1,Medium,2.3333333333333335,209
1,1,4,4,Low,2.0,210
1,4,1,4,Low,2.0,211
1,1,2,4,Low,1.3333333333333333,212
1,3,4,1,Medium,2.6666666666666665,213
1,1,3,1,Low,1.6666666666666667,214
4,1,2,1,Medium,2.3333333333333335,215
2,1,2,2,Low,1.6666666666666667,216
2,2,1,1,Low,1.6666666666666667,217
1,1,2,1,Low,1.3333333333333333,218
3,3,3,1,Medium,3.0,219
4,3,3,1,High,3.3333333333333335,220
2,3,3,1,Medium,2.6666666666666665,221
2,4,2,4,Medium,2.6666666666666665,222
2,1,4,1,Medium,2.3333333333333335,223
1,4,1,2,Low,2.0,224
1,1,1,2,Low,1.0,225
1,1,2,2,Low,1.3333333333333333,226
2,1,1,3,Low,1.3333333333333333,227
4,1,1,2,Low,2.0,228
1,4,2,4,Medium,2.3333333333333335,229
