EmployeeNumber,MonthlyIncome,IncomeBand,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel
131,13872,High Income,682,37,24409,13,0
132,2042,Low Income,489,67,25043,12,1
133,2073,Low Income,807,63,23648,22,0
134,2956,Low Income,827,71,15178,13,0
137,2926,Low Income,871,66,19783,18,0
138,4809,Medium Income,665,41,12482,14,0
139,5163,Medium Income,1040,100,15850,14,1
140,18844,High Income,1420,32,21922,21,1
141,18172,High Income,1115,73,9755,19,0
142,5744,Medium Income,240,46,26959,11,0
143,2889,Low Income,1280,64,26897,11,2
144,2871,Low Income,534,59,23785,15,0
145,7484,High Income,1456,30,25796,20,0
147,6074,Medium Income,658,66,22887,24,0
148,17328,High Income,142,30,13871,12,0
150,2774,Low Income,1127,52,13257,12,1
151,4505,Medium Income,1031,45,15000,15,1
152,7428,High Income,1189,87,14506,12,0
153,11631,High Income,1354,45,5615,12,0
154,9738,High Income,1467,92,22952,14,1
155,2835,Low Income,922,39,2561,22,1
158,16959,High Income,394,92,19494,12,2
159,2613,Low Income,1312,96,22310,25,3
160,6146,Medium Income,750,95,15480,13,1
161,4963,Medium Income,441,72,4510,18,3
162,19537,High Income,684,51,6462,13,0
163,6172,Medium Income,249,76,20739,18,0
164,2368,Low Income,841,46,23300,19,0
165,10312,High Income,147,94,3465,12,1
167,1675,Low Income,528,50,26820,19,0
169,2523,Low Income,594,100,19299,14,1
170,6567,High Income,470,96,5549,14,0
171,4739,Medium Income,957,72,16090,12,0
174,9208,High Income,809,77,6645,11,0
175,4559,Medium Income,542,71,24788,11,1
176,8189,High Income,802,96,21196,13,1
177,2942,Low Income,1355,61,8916,23,1
178,4941,Medium Income,216,84,2819,20,2
179,10650,High Income,1150,53,25150,15,0
182,5902,Medium Income,1329,47,14590,14,1
183,8639,High Income,959,41,24835,18,0
184,6347,Medium Income,1240,48,13982,19,0
190,4200,Medium Income,1033,41,10224,22,0
192,3452,Low Income,1316,83,9752,13,0
193,4317,Medium Income,364,32,2302,20,0
194,2632,Low Income,438,75,23910,14,0
195,4668,Medium Income,689,35,22812,17,3
197,3204,Low Income,201,84,10415,14,1
198,2720,Low Income,1427,35,11162,13,0
199,17181,High Income,857,91,12888,13,1
200,2238,Low Income,933,94,6961,21,1
201,1483,Low Income,1181,79,16102,14,0
202,5605,Medium Income,1395,54,8504,11,1
204,7295,High Income,662,94,11439,13,2
205,2306,Low Income,1436,34,16047,20,1
206,2348,Low Income,194,60,10901,18,1
207,8998,High Income,967,43,15589,14,0
208,4319,Medium Income,1496,41,26283,13,1
211,6132,Medium Income,1169,34,13983,17,0
214,3346,Low Income,1145,75,11873,20,1
215,10855,High Income,630,67,8552,11,1
216,2231,Low Income,303,75,11314,18,1
217,2323,Low Income,1256,80,11992,24,2
218,2024,Low Income,691,57,5970,18,1
221,2713,Low Income,440,42,6672,11,1
223,9439,High Income,334,83,23402,16,1
224,2566,Low Income,1450,79,25326,15,1
226,19926,High Income,1452,53,17053,15,0
227,2451,Low Income,465,56,4609,12,1
228,9419,High Income,1339,41,8053,12,1
230,8686,High Income,702,59,12930,22,0
231,3038,Low Income,120,43,12430,20,0
233,3058,Low Income,1157,51,13364,16,1
235,2325,Low Income,602,100,20989,21,0
238,2088,Low Income,1480,30,15062,12,0
239,3072,Low Income,111,66,11012,11,2
240,5006,Medium Income,1268,30,6319,11,1
241,4257,Medium Income,713,67,13939,18,1
242,2500,Low Income,134,90,10515,14,0
243,1102,Low Income,303,47,9241,22,0
244,10453,High Income,526,92,2137,25,3
245,2288,Low Income,1380,75,6319,12,0
246,3929,Medium Income,140,95,6984,23,1
247,2311,Low Income,629,95,5711,15,0
248,3140,Low Income,1356,70,21728,22,0
249,3690,Medium Income,328,86,3425,15,1
250,4450,Medium Income,1084,57,26250,11,2
252,2756,Low Income,931,72,4673,13,1
253,19033,High Income,989,46,6499,14,1
254,18722,High Income,692,61,13339,11,0
256,9547,High Income,1069,45,14074,17,0
258,13734,High Income,313,98,7192,18,0
259,19999,High Income,699,65,5678,14,1
260,2279,Low Income,894,99,11781,16,0
261,5916,Medium Income,556,50,15497,13,0
262,2089,Low Income,1344,37,5228,14,3
264,16792,High Income,1195,65,20462,23,1
267,3564,Low Income,290,65,22977,12,1
269,4425,Medium Income,138,37,15986,11,0
270,5265,Medium Income,926,36,16439,16,1
271,6553,High Income,1261,88,7259,14,0
273,6261,Medium Income,1084,54,4185,18,1
274,4298,Medium Income,472,60,9679,19,1
275,6804,High Income,1002,92,23793,15,2
277,3815,Medium Income,878,43,5972,17,1
281,2741,Low Income,905,99,16523,15,1
282,6673,High Income,1180,70,11354,19,0
283,7639,High Income,121,35,24525,22,3
284,2328,Low Income,1136,60,12392,16,1
286,2153,Low Income,635,73,7703,13,0
287,4876,Medium Income,1151,63,14242,14,1
288,9396,High Income,644,97,12368,16,1
291,10400,High Income,1045,32,25812,11,0
292,8474,High Income,829,88,20925,22,0
293,9981,High Income,1242,90,12916,14,0
296,12490,High Income,1469,81,15736,16,2
297,2657,Low Income,1005,88,8556,11,0
298,13591,High Income,896,75,14674,18,0
299,6696,High Income,334,52,22967,15,0
300,2058,Low Income,992,85,19757,14,0
302,8865,High Income,1052,57,16840,12,0
303,5940,Medium Income,1147,52,17011,14,1
304,5914,Medium Income,1396,62,9945,16,0
305,2622,Low Income,147,47,13248,21,0
306,12185,High Income,663,47,10056,14,3
307,10609,High Income,119,76,9647,12,2
308,4345,Medium Income,979,90,4381,12,1
309,2177,Low Income,142,70,8456,17,1
311,2793,Low Income,319,41,2539,17,1
312,7918,High Income,1413,42,6599,14,1
314,8789,High Income,944,92,9096,14,0
315,2389,Low Income,896,86,14961,13,0
316,3212,Low Income,1323,89,3300,15,0
319,19232,High Income,532,58,4933,11,0
321,2267,Low Income,818,52,25657,17,0
323,19517,High Income,854,68,24118,11,1
325,2436,Low Income,813,58,22149,13,1
327,16064,High Income,1034,80,7744,22,1
328,2707,Low Income,465,39,21509,20,0
329,19068,High Income,771,79,21030,18,0
330,3931,Medium Income,1401,56,20990,11,1
331,3730,Medium Income,515,62,9571,14,0
332,2232,Low Income,1431,96,15417,14,3
333,4465,Medium Income,976,100,12069,18,0
334,3072,Low Income,1411,36,19877,16,2
335,3319,Low Income,1300,62,24447,17,2
336,19202,High Income,252,70,15970,11,1
337,13675,High Income,1327,73,13523,12,1
338,2911,Low Income,832,63,14776,13,1
339,5957,Medium Income,470,84,23687,13,1
340,3920,Medium Income,1017,83,18697,14,1
341,6434,Medium Income,1199,77,5118,17,1
342,10048,High Income,504,61,22573,11,2
343,10938,High Income,505,64,6420,25,0
346,2340,Low Income,665,60,22673,19,0
347,6545,High Income,916,82,23016,13,0
349,6931,High Income,1247,45,10732,14,1
350,4898,Medium Income,685,62,7505,12,2
351,2593,Low Income,269,56,8007,11,1
352,19436,High Income,1416,49,5949,19,1
353,2723,Low Income,833,96,23231,11,0
355,3479,Low Income,307,71,11652,11,0
359,2794,Low Income,1311,100,26062,20,0
361,5249,Medium Income,1327,39,19682,18,1
362,2176,Low Income,128,84,19737,13,0
363,16872,High Income,488,75,14977,12,1
364,3485,Low Income,529,79,14935,11,0
366,6644,High Income,1210,78,3687,19,2
367,5582,Medium Income,1463,64,14408,21,1
369,4000,Medium Income,675,85,18384,12,2
372,13496,High Income,1385,79,7501,14,0
373,3210,Low Income,1403,47,20251,11,1
374,19045,High Income,452,81,18938,14,0
376,11849,High Income,666,88,10268,12,1
377,2070,Low Income,1158,94,2613,23,1
378,6502,High Income,228,98,22825,14,1
379,3230,Low Income,996,100,10531,17,0
380,13603,High Income,728,80,11677,18,2
381,11996,High Income,1315,71,19100,18,1
382,5605,Medium Income,322,44,19191,24,1
384,6397,Medium Income,1479,84,26767,20,1
385,19144,High Income,797,96,15815,14,2
386,17584,High Income,1070,45,21016,16,3
387,4907,Medium Income,635,99,24532,25,0
388,4554,Medium Income,442,44,20260,18,0
389,5415,Medium Income,147,37,15972,19,1
390,4741,Medium Income,496,60,22722,13,1
391,2115,Low Income,1372,42,15881,12,0
392,3161,Low Income,920,43,19920,22,1
393,5745,Medium Income,688,82,18899,14,1
394,2373,Low Income,1449,45,14180,13,1
395,3310,Low Income,1117,66,4488,21,0
396,18665,High Income,636,35,25594,11,0
397,4485,Medium Income,506,30,26285,12,0
399,2789,Low Income,444,84,3909,11,1
401,5828,Medium Income,950,48,8450,12,0
403,2326,Low Income,889,53,11411,12,3
404,13525,High Income,555,77,14864,14,1
405,1420,Low Income,230,54,25233,13,0
406,8020,High Income,1232,96,5100,15,2
407,3688,Medium Income,566,81,7122,18,2
408,5482,Medium Income,1302,84,16321,18,1
410,16015,High Income,334,88,15896,19,0
411,1200,Low Income,812,69,9724,12,0
412,5661,Medium Income,1476,68,4824,19,0
416,6929,High Income,218,100,12241,11,1
417,9613,High Income,1132,48,10942,17,3
419,5674,Medium Income,1105,47,6927,15,1
420,5484,Medium Income,906,91,16985,14,1
421,12061,High Income,849,81,26707,17,1
422,5660,Medium Income,390,32,17056,13,1
423,4821,Medium Income,691,86,10077,12,1
424,6410,Medium Income,106,62,17822,12,0
425,5210,Medium Income,1249,97,20308,18,1
426,2695,Low Income,192,32,7747,18,1
428,11878,High Income,553,74,23364,11,2
429,17068,High Income,117,99,5355,14,0
430,2455,Low Income,185,33,10675,19,0
431,13964,High Income,1091,90,17810,12,0
433,4941,Medium Income,723,85,17747,15,0
434,2478,Low Income,1220,85,20938,12,0
436,5228,Medium Income,588,65,24624,11,0
437,4478,Medium Income,1377,74,5242,11,0
438,7547,High Income,691,73,7143,12,3
439,5055,Medium Income,1018,74,10557,16,0
440,3464,Low Income,1157,84,24737,13,0
441,5775,Medium Income,1275,64,11934,13,2
442,8943,High Income,798,48,14034,24,1
444,19272,High Income,672,54,21141,15,1
445,5238,Medium Income,1162,41,17778,18,0
446,4682,Medium Income,508,46,4317,14,0
447,18300,High Income,1482,42,16375,11,1
448,5257,Medium Income,559,82,6227,11,1
449,6349,Medium Income,210,73,22107,13,1
450,4869,Medium Income,928,31,16885,12,0
451,9985,High Income,1001,43,9262,16,1
452,3697,Medium Income,549,75,9278,14,2
453,7457,High Income,1124,57,13273,22,3
454,2119,Low Income,318,77,4759,11,0
455,3983,Medium Income,738,30,7621,17,0
456,6118,Medium Income,570,30,5431,13,3
458,6214,Medium Income,1130,56,3415,18,1
460,6347,Medium Income,1192,61,23177,16,2
461,11510,High Income,343,92,15682,14,1
462,7143,High Income,1232,39,25713,14,0
463,8268,High Income,144,39,11866,14,2
464,8095,High Income,1296,62,18264,13,0
465,2904,Low Income,1309,83,16092,12,2
466,6032,Medium Income,483,95,10110,15,0
467,2976,Low Income,1309,99,25751,19,0
468,15992,High Income,810,44,15901,14,0
469,4649,Medium Income,746,61,16928,14,1
470,2696,Low Income,544,52,24017,11,1
471,2370,Low Income,1062,75,3956,13,1
473,12504,High Income,530,91,23978,21,1
474,5974,Medium Income,1319,51,17001,13,2
475,4736,Medium Income,641,85,6069,12,1
476,5296,Medium Income,933,57,20156,17,1
477,6781,High Income,1332,98,17078,23,0
478,2174,Low Income,756,99,9150,11,0
479,6653,High Income,845,45,15276,15,0
481,9699,High Income,541,48,7246,11,1
482,6755,High Income,593,88,2967,11,0
483,2213,Low Income,1171,46,22495,13,1
484,2610,Low Income,895,39,2851,24,0
485,2851,Low Income,350,34,9150,13,0
486,3452,Low Income,921,98,17663,20,1
487,5258,Medium Income,1144,30,16044,14,0
488,9355,High Income,143,56,9558,18,0
491,10496,High Income,1046,100,2755,15,0
492,6380,Medium Income,575,68,6110,12,2
493,2657,Low Income,408,42,7551,16,0
494,2716,Low Income,156,90,25422,15,0
495,2201,Low Income,1283,54,18168,16,0
496,6540,High Income,755,97,19394,19,0
497,3816,Medium Income,1469,82,17881,11,1
498,5253,Medium Income,304,92,20750,16,0
499,10965,High Income,1261,31,12066,24,0
500,4936,Medium Income,1178,87,14862,11,1
501,2543,Low Income,329,96,11868,13,1
502,5304,Medium Income,1362,67,4652,13,0
505,16659,High Income,1311,97,23258,13,0
507,4260,Medium Income,1371,77,5915,12,1
508,2476,Low Income,202,72,17434,18,1
510,3102,Low Income,575,73,6582,22,0
511,2244,Low Income,253,43,24440,13,1
513,7596,High Income,164,61,3809,13,2
514,2285,Low Income,464,40,3427,23,0
515,3034,Low Income,1107,95,26914,12,1
516,5715,Medium Income,759,46,22553,12,2
517,2576,Low Income,201,95,20490,16,1
518,4197,Medium Income,1305,49,21123,12,0
520,14336,High Income,982,59,4345,11,1
521,3448,Low Income,555,78,13436,22,1
522,19406,High Income,821,86,8509,11,1
523,6538,High Income,1381,72,12740,15,1
524,4306,Medium Income,480,31,4156,12,1
525,2258,Low Income,313,61,15238,20,1
526,4522,Medium Income,1473,74,2227,14,0
527,4487,Medium Income,891,99,12090,11,0
529,4449,Medium Income,1063,72,23866,15,2
530,2218,Low Income,329,98,16193,12,1
531,19197,High Income,1218,52,8213,14,1
532,13212,High Income,906,86,18256,11,3
533,6577,High Income,1082,83,19558,11,0
534,8392,High Income,645,49,19566,16,1
536,4558,Medium Income,1300,79,13535,12,1
538,4031,Medium Income,688,91,9396,13,1
543,7969,High Income,319,39,19609,14,0
544,2654,Low Income,192,69,9655,21,2
546,16555,High Income,1490,30,10310,13,0
547,4556,Medium Income,532,92,12932,11,1
548,6091,Medium Income,317,43,24793,20,0
549,19566,High Income,422,41,3854,11,0
550,4810,Medium Income,1485,87,26314,14,1
551,4523,Medium Income,1368,88,4386,11,3
554,3202,Low Income,1448,62,21972,16,0
555,2351,Low Income,296,33,12253,16,1
556,1702,Low Income,1490,42,12106,23,1
558,18041,High Income,1398,79,13022,14,0
560,2886,Low Income,1349,90,3032,22,2
562,2097,Low Income,1400,53,16734,15,1
564,11935,High Income,986,93,21526,18,0
565,2546,Low Income,408,71,18300,16,0
566,2564,Low Income,489,52,18437,12,0
567,8412,High Income,1398,69,2890,11,0
568,14118,High Income,210,56,22102,12,1
569,17046,High Income,1099,88,9314,15,1
571,2564,Low Income,1116,49,7181,14,0
573,10266,High Income,1499,80,2845,19,0
574,5070,Medium Income,983,65,7389,13,3
575,17861,High Income,1009,51,2288,13,0
577,4230,Medium Income,144,46,19225,15,0
578,3780,Medium Income,548,42,23428,11,0
579,2768,Low Income,1303,62,8416,12,1
580,9071,High Income,1125,94,11563,19,1
581,10648,High Income,1274,33,14394,25,1
582,13610,High Income,1277,56,24619,12,0
584,3408,Low Income,587,38,6705,13,3
585,2983,Low Income,413,57,18398,14,0
586,7632,High Income,1276,72,14295,12,0
587,9824,High Income,534,66,22908,12,0
590,9950,High Income,988,43,11533,15,3
591,2093,Low Income,1474,97,9260,17,1
592,9980,High Income,635,32,15318,14,0
593,3894,Medium Income,1368,99,9129,16,0
595,4051,Medium Income,163,37,19658,14,1
597,16835,High Income,1117,83,9873,23,0
599,6230,Medium Income,267,56,13430,14,0
600,4717,Medium Income,619,85,18659,11,0
601,13237,High Income,302,75,20364,15,0
602,3755,Medium Income,443,48,17872,11,1
604,6582,High Income,828,77,8346,13,0
605,7406,High Income,319,56,6950,21,1
606,4805,Medium Income,561,61,16177,19,1
608,2741,Low Income,426,58,22808,11,1
611,4262,Medium Income,232,34,22645,12,2
612,16184,High Income,922,95,22578,19,1
613,11557,High Income,688,44,25291,21,1
614,1878,Low Income,1306,69,8059,14,0
615,10932,High Income,1094,58,11373,15,1
616,6811,High Income,509,62,2112,17,0
618,4306,Medium Income,775,45,4267,12,2
620,4859,Medium Income,195,80,6698,16,0
621,5337,Medium Income,258,74,19921,12,0
622,2340,Low Income,471,66,23213,18,0
623,7491,High Income,799,59,23848,17,0
624,10527,High Income,1034,86,8984,11,0
625,16595,High Income,1276,91,5626,16,1
626,8834,High Income,142,69,24666,13,1
630,5577,Medium Income,956,78,22087,12,2
631,4707,Medium Income,1474,60,23914,12,0
632,2400,Low Income,535,38,5530,13,2
634,9824,High Income,1495,76,22174,19,1
635,6447,Medium Income,446,65,15701,12,1
638,19502,High Income,1245,58,2125,17,1
639,2725,Low Income,691,89,21630,11,2
641,6272,Medium Income,703,66,7428,20,2
643,2127,Low Income,823,94,9100,21,1
644,18200,High Income,1246,99,7999,11,1
645,2096,Low Income,622,40,26376,11,0
647,2886,Low Income,1287,55,14168,16,1
648,2033,Low Income,448,74,14470,18,1
649,3622,Medium Income,254,83,22794,13,1
650,4233,Medium Income,1365,46,11512,17,0
652,3681,Medium Income,538,54,14004,14,0
653,5460,Medium Income,525,66,6219,22,2
655,2187,Low Income,798,66,5013,12,2
656,9602,High Income,558,75,3010,11,1
657,2836,Low Income,959,83,11757,13,0
659,4089,Medium Income,622,81,5718,13,2
661,16627,High Income,782,50,2671,14,1
662,2619,Low Income,362,43,14561,17,0
663,5679,Medium Income,1001,72,19627,13,1
664,15402,High Income,1236,40,17997,11,1
665,5985,Medium Income,1112,50,26894,11,0
666,2579,Low Income,204,31,2912,18,2
667,3041,Low Income,1420,85,16346,11,1
669,3447,Low Income,1343,49,24444,11,0
671,19513,High Income,1315,35,9358,12,1
675,2773,Low Income,604,69,12145,20,0
677,7104,High Income,1216,39,20431,12,0
679,6322,Medium Income,646,92,18089,12,1
680,2083,Low Income,160,71,22653,20,1
682,8381,High Income,238,34,7507,20,0
683,2691,Low Income,1397,42,7660,12,1
684,4286,Medium Income,306,100,5630,14,2
686,2659,Low Income,991,71,17759,13,1
689,9434,High Income,482,36,9606,15,1
690,5561,Medium Income,1176,62,3487,14,1
691,6646,High Income,1017,82,19368,13,0
692,7725,High Income,1296,30,5335,23,1
698,10725,High Income,397,88,6729,15,1
699,8847,High Income,913,48,13934,11,1
700,2045,Low Income,1115,54,15174,13,0
701,1009,Low Income,1362,32,26999,11,0
702,3348,Low Income,1076,70,3164,11,0
704,1281,Low Income,727,41,16900,18,2
705,2819,Low Income,885,58,8544,16,1
707,4851,Medium Income,810,57,15678,22,1
709,4028,Medium Income,243,46,7791,20,0
710,2720,Low Income,806,76,18959,18,1
712,8120,High Income,817,56,18597,12,0
714,4647,Medium Income,1410,71,16673,20,2
715,4680,Medium Income,1225,80,15232,17,0
716,3221,Low Income,1207,74,3297,11,3
717,8621,High Income,1442,46,17654,14,0
720,4577,Medium Income,693,65,24785,14,0
721,4553,Medium Income,408,80,20978,11,0
722,5396,Medium Income,929,55,21703,12,0
723,6796,High Income,562,50,23452,14,1
724,7625,High Income,827,33,19383,13,0
725,7412,High Income,608,68,6009,11,0
727,11159,High Income,1018,39,19373,15,0
728,4960,Medium Income,703,42,11825,12,0
729,10475,High Income,580,48,23772,21,1
730,14814,High Income,970,59,13514,19,0
731,19141,High Income,427,73,8861,15,3
732,5405,Medium Income,1179,84,11924,14,0
733,8793,High Income,294,32,4809,21,2
734,19189,High Income,314,59,19562,12,1
738,3875,Medium Income,316,54,9983,15,1
741,2216,Low Income,654,67,3872,13,0
742,11713,High Income,427,63,20335,14,1
743,7861,High Income,168,81,15397,14,0
744,3708,Medium Income,381,49,2104,14,0
746,13770,High Income,217,49,10225,12,2
747,5304,Medium Income,501,99,25275,23,1
749,2642,Low Income,1396,99,2755,11,0
752,2759,Low Income,933,57,20366,12,0
754,6804,High Income,775,47,23683,18,1
757,6142,Medium Income,970,96,7360,11,0
758,2500,Low Income,650,37,4344,14,1
760,6389,Medium Income,141,44,18767,15,1
762,11103,High Income,832,81,20420,11,0
763,2342,Low Income,804,86,22929,20,0
764,6811,High Income,975,55,23398,19,0
766,2297,Low Income,1090,83,17967,14,2
769,2450,Low Income,346,86,10919,17,0
771,5093,Medium Income,1225,61,4761,11,1
772,5309,Medium Income,430,80,21146,15,2
773,3057,Low Income,268,92,20471,13,1
775,5121,Medium Income,167,32,4187,14,1
776,16856,High Income,621,31,10084,11,0
780,2686,Low Income,527,63,5207,13,0
781,6180,Medium Income,883,32,22807,23,0
783,6632,High Income,954,46,12388,13,0
784,3505,Low Income,310,79,19630,18,0
785,6397,Medium Income,719,77,10339,12,0
786,6274,Medium Income,304,60,18686,22,0
787,19859,High Income,725,78,21199,13,1
789,7587,High Income,1434,76,14229,15,0
791,4258,Medium Income,715,41,26589,18,1
792,4364,Medium Income,575,71,5288,14,1
793,4335,Medium Income,657,66,25549,12,1
796,5326,Medium Income,1146,38,3064,17,0
797,3280,Low Income,182,72,13551,16,0
799,5485,Medium Income,376,95,22670,11,2
800,4342,Medium Income,829,84,24008,19,1
802,2782,Low Income,571,82,19905,13,2
803,5980,Medium Income,240,75,26085,12,0
804,4381,Medium Income,121,86,7530,11,0
805,2572,Low Income,384,72,20317,16,1
806,3833,Medium Income,921,38,24375,21,2
807,4244,Medium Income,791,38,9931,24,1
808,6500,High Income,1111,93,13305,17,1
809,18430,High Income,570,66,16225,13,1
811,1601,Low Income,1243,63,3445,21,2
812,2694,Low Income,1092,60,26551,11,3
813,3149,Low Income,1325,82,21821,20,1
815,17639,High Income,691,64,6881,16,0
816,2319,Low Income,805,36,6689,11,1
817,11691,High Income,213,49,25995,11,0
819,5324,Medium Income,118,69,26507,15,0
820,16752,High Income,202,33,12982,11,1
823,5228,Medium Income,676,35,23361,15,1
824,2700,Low Income,1252,81,23779,24,1
825,19246,High Income,286,31,25761,12,0
826,2506,Low Income,1258,40,13301,13,0
827,6062,Medium Income,932,43,4051,13,1
828,4382,Medium Income,890,46,16374,17,0
829,2143,Low Income,1041,36,25527,13,1
830,6162,Medium Income,859,98,19124,12,1
832,5094,Medium Income,720,51,11983,14,0
833,6877,High Income,946,52,20234,24,0
834,2274,Low Income,252,95,6153,14,0
836,4434,Medium Income,933,98,11806,13,1
837,6288,Medium Income,471,45,4284,15,1
838,2553,Low Income,702,100,8306,16,0
840,7654,High Income,1184,43,5860,18,2
842,5160,Medium Income,436,37,21519,16,0
843,17159,High Income,589,94,5200,24,1
844,12808,High Income,269,42,8842,16,1
845,10221,High Income,950,59,18869,21,0
846,4779,Medium Income,760,81,3698,20,0
847,3737,Medium Income,829,88,2243,19,1
848,2366,Low Income,887,88,20898,14,1
850,1706,Low Income,443,50,16571,11,3
851,16307,High Income,1318,66,5594,14,1
852,5933,Medium Income,625,50,5197,12,0
854,3424,Low Income,180,65,21632,13,0
855,4037,Medium Income,586,48,21816,22,1
856,2559,Low Income,1343,53,17852,11,0
857,6201,Medium Income,928,56,2823,14,1
859,4403,Medium Income,117,73,9250,11,1
861,3761,Medium Income,1012,75,2373,12,1
862,10934,High Income,661,78,20715,18,1
864,10761,High Income,930,74,19239,12,1
865,5175,Medium Income,638,91,22162,12,1
867,13826,High Income,890,81,19028,22,0
868,6334,Medium Income,342,66,24558,19,2
869,4936,Medium Income,1169,63,23965,13,1
872,4775,Medium Income,1230,33,19146,22,2
874,2818,Low Income,986,62,5044,24,1
875,2515,Low Income,1271,35,9068,14,0
878,2342,Low Income,1278,77,8635,21,0
879,4194,Medium Income,141,98,14363,18,0
880,10685,High Income,607,66,23457,20,1
881,2022,Low Income,130,96,16612,19,1
882,2314,Low Income,300,61,9148,12,1
885,4256,Medium Income,583,87,18154,12,0
887,3580,Low Income,1418,36,10554,16,1
888,3162,Low Income,1269,46,10778,17,0
889,6524,High Income,379,48,8891,14,1
893,2899,Low Income,395,98,12102,19,1
894,5231,Medium Income,1265,95,23726,13,1
895,2356,Low Income,1222,48,14871,19,1
896,2800,Low Income,341,48,23522,19,3
897,11836,High Income,868,73,22789,14,1
899,10903,High Income,672,78,9129,16,0
900,2973,Low Income,1231,54,21222,15,1
