EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,Education,EducationField,DistanceFromHome
143,25,18-25,Male,Married,1,Medical,7
144,22,18-25,Female,Single,3,Medical,15
145,51,46+,Female,Single,4,Medical,1
147,34,26-35,Male,Single,3,Life Sciences,7
148,54,46+,Female,Single,3,Human Resources,26
150,24,18-25,Male,Married,1,Life Sciences,18
151,34,26-35,Female,Divorced,4,Life Sciences,6
152,37,36-45,Male,Single,3,Life Sciences,3
153,34,26-35,Female,Single,3,Medical,5
154,36,36-45,Female,Married,2,Technical Degree,11
155,36,36-45,Female,Divorced,2,Life Sciences,3
158,43,36-45,Male,Married,2,Life Sciences,26
159,30,26-35,Male,Divorced,3,Life Sciences,23
160,33,26-35,Male,Married,2,Marketing,22
161,56,46+,Female,Married,4,Life Sciences,14
162,51,46+,Male,Single,3,Life Sciences,6
163,31,26-35,Male,Married,4,Life Sciences,6
164,26,26-35,Female,Married,3,Other,6
165,58,46+,Female,Married,4,Medical,23
167,19,18-25,Male,Single,1,Marketing,22
169,22,18-25,Male,Married,1,Technical Degree,2
170,49,46+,Female,Married,4,Medical,20
171,43,36-45,Female,Single,3,Medical,28
174,50,46+,Female,Single,3,Marketing,12
175,31,26-35,Female,Married,3,Life Sciences,20
176,41,36-45,Male,Divorced,1,Life Sciences,9
177,26,26-35,Female,Married,1,Life Sciences,25
178,36,36-45,Male,Divorced,2,Medical,6
179,51,46+,Male,Single,4,Life Sciences,8
182,39,36-45,Female,Married,4,Life Sciences,4
183,25,18-25,Male,Married,3,Life Sciences,28
184,30,26-35,Male,Married,3,Human Resources,9
190,32,26-35,Female,Single,3,Medical,9
192,45,36-45,Male,Single,3,Medical,29
193,38,36-45,Female,Single,5,Technical Degree,3
194,30,26-35,Female,Single,3,Life Sciences,18
195,32,26-35,Male,Divorced,2,Medical,9
197,30,26-35,Female,Divorced,3,Technical Degree,5
198,30,26-35,Male,Single,1,Medical,2
199,41,36-45,Male,Divorced,3,Life Sciences,10
200,41,36-45,Male,Married,4,Life Sciences,9
201,19,18-25,Female,Single,1,Medical,3
202,40,36-45,Female,Divorced,3,Medical,26
204,35,26-35,Male,Married,5,Marketing,1
205,53,46+,Male,Married,2,Marketing,6
206,45,36-45,Male,Divorced,3,Life Sciences,9
207,32,26-35,Female,Single,3,Marketing,8
208,29,26-35,Male,Married,1,Technical Degree,1
211,51,46+,Male,Married,4,Medical,7
214,58,46+,Female,Married,3,Medical,9
215,40,36-45,Male,Married,4,Marketing,4
216,34,26-35,Female,Married,4,Marketing,2
217,22,18-25,Male,Married,1,Medical,19
218,27,26-35,Male,Divorced,3,Medical,9
221,28,26-35,Male,Married,3,Medical,21
223,57,46+,Male,Divorced,2,Life Sciences,24
224,27,26-35,Male,Divorced,3,Medical,3
226,50,46+,Female,Single,3,Life Sciences,11
227,41,36-45,Male,Divorced,3,Life Sciences,14
228,30,26-35,Female,Married,3,Life Sciences,5
230,38,36-45,Female,Single,4,Life Sciences,1
231,32,26-35,Male,Single,5,Life Sciences,6
233,27,26-35,Male,Married,3,Technical Degree,17
235,19,18-25,Female,Single,1,Technical Degree,1
238,36,36-45,Male,Single,2,Medical,3
239,30,26-35,Male,Divorced,3,Medical,9
240,45,36-45,Female,Divorced,2,Life Sciences,4
241,56,46+,Female,Divorced,3,Life Sciences,8
242,33,26-35,Male,Single,3,Life Sciences,2
243,19,18-25,Male,Single,3,Life Sciences,2
244,46,46+,Female,Divorced,2,Marketing,1
245,38,36-45,Female,Single,2,Life Sciences,9
246,31,26-35,Female,Married,1,Medical,12
247,34,26-35,Female,Single,2,Medical,27
248,41,36-45,Female,Single,2,Marketing,20
249,50,46+,Male,Married,3,Medical,1
250,53,46+,Female,Divorced,2,Medical,13
252,33,26-35,Female,Married,3,Medical,14
253,40,36-45,Female,Married,1,Medical,4
254,55,46+,Male,Single,4,Medical,14
256,34,26-35,Male,Married,1,Life Sciences,2
258,51,46+,Female,Single,3,Medical,3
259,52,46+,Male,Married,4,Life Sciences,1
260,27,26-35,Female,Single,3,Medical,9
261,35,26-35,Male,Married,2,Life Sciences,23
262,43,36-45,Male,Divorced,3,Medical,7
264,45,36-45,Male,Married,2,Medical,2
267,37,36-45,Male,Married,3,Life Sciences,21
269,35,26-35,Female,Single,3,Medical,2
270,42,36-45,Female,Divorced,2,Medical,21
271,38,36-45,Male,Married,4,Life Sciences,2
273,38,36-45,Male,Married,3,Technical Degree,29
274,27,26-35,Male,Married,1,Technical Degree,1
275,49,46+,Male,Divorced,4,Life Sciences,18
277,34,26-35,Male,Divorced,4,Medical,10
281,40,36-45,Male,Married,2,Medical,19
282,38,36-45,Male,Married,1,Medical,29
283,29,26-35,Female,Married,3,Marketing,27
284,22,18-25,Male,Divorced,3,Life Sciences,5
286,36,36-45,Female,Single,1,Medical,18
287,40,36-45,Male,Married,5,Life Sciences,9
288,46,46+,Male,Divorced,4,Medical,1
291,32,26-35,Male,Married,4,Medical,4
292,30,26-35,Male,Single,1,Life Sciences,1
293,27,26-35,Female,Single,3,Life Sciences,20
296,51,46+,Male,Married,4,Life Sciences,8
297,30,26-35,Female,Single,3,Technical Degree,3
298,41,36-45,Female,Single,3,Life Sciences,6
299,30,26-35,Female,Single,4,Marketing,26
300,29,26-35,Male,Single,3,Technical Degree,1
302,45,36-45,Female,Single,3,Medical,6
303,54,46+,Female,Married,3,Marketing,3
304,36,36-45,Male,Single,2,Life Sciences,5
305,33,26-35,Female,Married,4,Medical,4
306,37,36-45,Male,Divorced,3,Other,11
307,38,36-45,Male,Divorced,3,Life Sciences,3
308,31,26-35,Male,Married,4,Medical,1
309,59,46+,Male,Married,3,Life Sciences,3
311,37,36-45,Male,Divorced,4,Marketing,4
312,29,26-35,Female,Married,1,Medical,1
314,35,26-35,Female,Single,3,Marketing,1
315,29,26-35,Male,Single,1,Medical,18
316,52,46+,Female,Single,3,Life Sciences,2
319,42,36-45,Male,Married,2,Technical Degree,4
321,59,46+,Male,Married,2,Medical,6
323,50,46+,Female,Divorced,4,Medical,1
325,33,26-35,Male,Married,3,Medical,14
327,43,36-45,Female,Married,3,Marketing,16
328,33,26-35,Female,Married,2,Life Sciences,2
329,52,46+,Male,Single,4,Life Sciences,2
330,32,26-35,Female,Married,2,Life Sciences,4
331,32,26-35,Male,Single,3,Life Sciences,1
332,39,36-45,Female,Divorced,4,Medical,1
333,32,26-35,Male,Married,4,Marketing,26
334,41,36-45,Male,Divorced,2,Life Sciences,19
335,40,36-45,Male,Divorced,2,Technical Degree,24
336,45,36-45,Male,Married,3,Other,1
337,31,26-35,Male,Divorced,4,Medical,3
338,33,26-35,Female,Married,4,Life Sciences,5
339,34,26-35,Male,Married,4,Life Sciences,2
340,37,36-45,Female,Married,2,Medical,1
341,45,36-45,Male,Married,4,Life Sciences,7
342,37,36-45,Male,Divorced,3,Medical,10
343,39,36-45,Female,Single,4,Technical Degree,2
346,29,26-35,Male,Single,3,Life Sciences,15
347,42,36-45,Female,Single,2,Life Sciences,17
349,29,26-35,Male,Divorced,2,Marketing,20
350,25,18-25,Female,Married,3,Life Sciences,1
351,42,36-45,Female,Divorced,3,Medical,2
352,40,36-45,Male,Divorced,2,Medical,2
353,51,46+,Male,Married,3,Life Sciences,1
355,31,26-35,Male,Single,2,Medical,29
359,32,26-35,Male,Married,3,Life Sciences,7
361,38,36-45,Male,Married,2,Life Sciences,2
362,32,26-35,Male,Single,1,Technical Degree,2
363,46,46+,Female,Married,3,Technical Degree,2
364,28,26-35,Male,Single,4,Life Sciences,2
366,29,26-35,Male,Married,3,Medical,2
367,31,26-35,Male,Married,3,Medical,23
369,25,18-25,Male,Divorced,2,Life Sciences,5
372,45,36-45,Male,Married,2,Medical,20
373,36,36-45,Male,Married,3,Life Sciences,6
374,55,46+,Male,Single,3,Medical,1
376,47,46+,Male,Married,4,Life Sciences,29
377,28,26-35,Male,Married,3,Medical,9
378,37,36-45,Male,Married,4,Medical,6
379,21,18-25,Male,Single,2,Medical,3
380,37,36-45,Female,Divorced,4,Medical,1
381,35,26-35,Female,Divorced,3,Life Sciences,22
382,38,36-45,Female,Divorced,2,Medical,7
384,26,26-35,Female,Divorced,3,Life Sciences,1
385,50,46+,Male,Divorced,1,Life Sciences,4
386,53,46+,Male,Married,4,Medical,3
387,42,36-45,Male,Married,1,Life Sciences,1
388,29,26-35,Male,Single,2,Life Sciences,2
389,55,46+,Male,Married,2,Technical Degree,20
390,26,26-35,Male,Married,2,Medical,11
391,37,36-45,Female,Single,3,Life Sciences,1
392,44,36-45,Male,Divorced,3,Life Sciences,24
393,38,36-45,Male,Divorced,4,Life Sciences,23
394,26,26-35,Male,Divorced,4,Medical,16
395,28,26-35,Female,Single,2,Life Sciences,8
396,49,46+,Female,Single,4,Life Sciences,10
397,36,36-45,Male,Single,3,Technical Degree,3
399,31,26-35,Female,Divorced,3,Marketing,5
401,26,26-35,Male,Single,4,Marketing,4
403,37,36-45,Male,Married,3,Medical,9
404,42,36-45,Female,Married,3,Marketing,26
405,18,18-25,Male,Single,3,Life Sciences,3
406,35,26-35,Male,Married,3,Marketing,16
407,36,36-45,Male,Married,4,Life Sciences,18
408,51,46+,Male,Divorced,3,Medical,2
410,41,36-45,Male,Single,4,Life Sciences,2
411,18,18-25,Female,Single,3,Medical,10
412,28,26-35,Male,Single,2,Medical,16
416,31,26-35,Male,Married,3,Technical Degree,7
417,39,36-45,Male,Divorced,3,Medical,1
419,36,36-45,Female,Married,4,Life Sciences,24
420,32,26-35,Male,Married,3,Life Sciences,7
421,38,36-45,Female,Married,2,Life Sciences,25
422,58,46+,Male,Divorced,4,Life Sciences,1
423,31,26-35,Male,Married,4,Technical Degree,5
424,31,26-35,Male,Married,3,Human Resources,2
425,45,36-45,Male,Divorced,3,Life Sciences,7
426,31,26-35,Male,Divorced,4,Life Sciences,2
428,33,26-35,Female,Married,4,Life Sciences,5
429,39,36-45,Male,Married,1,Medical,10
430,43,36-45,Female,Single,4,Life Sciences,10
431,49,46+,Female,Single,2,Technical Degree,1
433,52,46+,Male,Married,4,Medical,8
434,27,26-35,Female,Single,3,Life Sciences,5
436,32,26-35,Female,Married,2,Technical Degree,8
437,27,26-35,Male,Single,3,Life Sciences,2
438,31,26-35,Male,Divorced,3,Marketing,7
439,32,26-35,Female,Single,4,Medical,2
440,28,26-35,Male,Married,4,Medical,2
441,30,26-35,Female,Married,2,Medical,28
442,31,26-35,Female,Married,2,Life Sciences,7
444,39,36-45,Male,Married,2,Medical,7
445,39,36-45,Female,Married,2,Medical,3
446,33,26-35,Male,Single,3,Marketing,10
447,47,46+,Male,Married,5,Life Sciences,5
448,43,36-45,Female,Divorced,4,Life Sciences,10
449,27,26-35,Male,Married,1,Marketing,1
450,54,46+,Female,Single,4,Life Sciences,20
451,43,36-45,Female,Married,3,Life Sciences,7
452,45,36-45,Male,Married,4,Other,8
453,40,36-45,Male,Married,2,Medical,1
454,29,26-35,Male,Married,4,Other,8
455,29,26-35,Male,Single,5,Other,9
456,30,26-35,Female,Divorced,3,Marketing,5
458,27,26-35,Female,Married,4,Marketing,8
460,37,36-45,Male,Divorced,2,Medical,5
461,38,36-45,Male,Divorced,2,Life Sciences,15
462,31,26-35,Female,Single,4,Medical,7
463,29,26-35,Female,Divorced,1,Marketing,10
464,35,26-35,Male,Single,4,Technical Degree,5
465,23,18-25,Male,Divorced,1,Life Sciences,26
466,41,36-45,Male,Single,3,Medical,6
467,47,46+,Male,Single,1,Medical,4
468,42,36-45,Female,Single,5,Life Sciences,23
469,29,26-35,Male,Married,3,Life Sciences,2
470,42,36-45,Male,Divorced,1,Technical Degree,2
471,32,26-35,Female,Married,3,Medical,2
473,48,46+,Female,Married,1,Medical,29
474,37,36-45,Male,Divorced,3,Medical,6
475,30,26-35,Female,Married,2,Technical Degree,25
476,26,26-35,Male,Married,3,Life Sciences,1
477,42,36-45,Male,Single,4,Other,2
478,21,18-25,Female,Single,1,Technical Degree,1
479,36,36-45,Female,Single,5,Medical,1
481,36,36-45,Male,Married,4,Medical,3
482,57,46+,Male,Married,4,Medical,1
483,40,36-45,Female,Married,4,Life Sciences,10
484,21,18-25,Male,Single,2,Medical,9
485,33,26-35,Female,Single,3,Marketing,5
486,37,36-45,Female,Married,3,Medical,10
487,46,46+,Female,Married,4,Medical,7
488,41,36-45,Male,Single,3,Marketing,4
491,50,46+,Male,Single,3,Technical Degree,10
492,40,36-45,Male,Married,2,Marketing,22
493,31,26-35,Male,Single,4,Life Sciences,9
494,21,18-25,Female,Single,3,Life Sciences,12
495,29,26-35,Male,Single,3,Life Sciences,23
496,35,26-35,Male,Single,4,Life Sciences,9
497,27,26-35,Male,Divorced,2,Medical,1
498,28,26-35,Male,Single,4,Life Sciences,9
499,49,46+,Male,Single,3,Other,7
500,51,46+,Female,Married,2,Life Sciences,14
501,36,36-45,Female,Married,3,Life Sciences,2
502,34,26-35,Male,Single,3,Marketing,19
505,55,46+,Female,Single,3,Life Sciences,2
507,24,18-25,Female,Divorced,4,Marketing,10
508,30,26-35,Male,Married,1,Technical Degree,2
510,26,26-35,Male,Single,1,Technical Degree,3
511,22,18-25,Female,Married,3,Medical,11
513,36,36-45,Male,Married,2,Medical,2
514,30,26-35,Male,Single,3,Technical Degree,4
515,37,36-45,Female,Divorced,3,Life Sciences,14
516,40,36-45,Female,Divorced,2,Marketing,2
517,42,36-45,Female,Divorced,4,Life Sciences,1
518,37,36-45,Male,Single,4,Life Sciences,10
520,43,36-45,Male,Divorced,3,Life Sciences,12
521,40,36-45,Female,Married,3,Medical,2
522,54,46+,Male,Married,2,Medical,5
523,34,26-35,Female,Married,4,Marketing,4
524,31,26-35,Female,Married,2,Medical,7
525,43,36-45,Male,Married,3,Medical,21
526,43,36-45,Female,Divorced,4,Other,8
527,25,18-25,Female,Single,2,Life Sciences,4
529,37,36-45,Female,Married,5,Medical,25
530,31,26-35,Male,Married,2,Life Sciences,1
531,39,36-45,Male,Divorced,1,Life Sciences,1
532,56,46+,Female,Married,3,Life Sciences,6
533,30,26-35,Female,Single,3,Technical Degree,12
534,41,36-45,Male,Married,3,Marketing,1
536,28,26-35,Male,Divorced,2,Medical,17
538,25,18-25,Male,Married,3,Medical,3
543,52,46+,Male,Married,3,Medical,3
544,45,36-45,Male,Married,2,Life Sciences,10
546,52,46+,Female,Married,2,Life Sciences,4
547,42,36-45,Female,Divorced,2,Life Sciences,29
548,30,26-35,Female,Single,3,Life Sciences,2
549,60,46+,Female,Married,3,Life Sciences,7
550,46,46+,Female,Divorced,3,Medical,18
551,42,36-45,Female,Married,4,Technical Degree,28
554,24,18-25,Female,Single,1,Technical Degree,1
555,34,26-35,Female,Divorced,2,Marketing,6
556,38,36-45,Male,Married,2,Life Sciences,2
558,40,36-45,Female,Married,4,Life Sciences,2
560,26,26-35,Female,Divorced,3,Life Sciences,23
562,30,26-35,Male,Married,3,Life Sciences,3
564,29,26-35,Male,Married,4,Medical,3
565,29,26-35,Female,Married,5,Technical Degree,25
566,19,18-25,Male,Single,2,Technical Degree,2
567,30,26-35,Female,Married,4,Other,22
568,57,46+,Male,Divorced,3,Marketing,29
569,50,46+,Male,Married,4,Life Sciences,29
571,30,26-35,Female,Single,3,Medical,2
573,60,46+,Female,Married,3,Marketing,28
574,47,46+,Female,Divorced,2,Medical,2
575,46,46+,Male,Married,3,Life Sciences,2
577,35,26-35,Male,Single,3,Life Sciences,22
578,54,46+,Female,Single,4,Life Sciences,8
579,34,26-35,Male,Divorced,4,Life Sciences,2
580,46,46+,Female,Married,3,Marketing,10
581,31,26-35,Male,Divorced,1,Life Sciences,9
582,33,26-35,Male,Married,1,Medical,15
584,33,26-35,Male,Divorced,1,Medical,10
585,30,26-35,Male,Single,1,Marketing,7
586,35,26-35,Male,Married,3,Life Sciences,16
587,31,26-35,Male,Married,3,Life Sciences,20
590,34,26-35,Female,Divorced,3,Human Resources,23
591,42,36-45,Male,Married,2,Other,5
592,36,36-45,Male,Single,4,Medical,10
593,22,18-25,Male,Single,1,Technical Degree,4
595,48,46+,Female,Married,5,Marketing,2
597,55,46+,Female,Single,5,Life Sciences,18
599,41,36-45,Male,Single,2,Life Sciences,10
600,35,26-35,Male,Married,3,Marketing,1
601,40,36-45,Female,Single,3,Life Sciences,6
602,39,36-45,Female,Married,1,Life Sciences,8
604,31,26-35,Male,Single,1,Life Sciences,2
605,42,36-45,Male,Married,3,Medical,24
606,45,36-45,Male,Married,3,Other,2
608,26,26-35,Female,Divorced,4,Life Sciences,17
611,29,26-35,Male,Divorced,3,Technical Degree,19
612,33,26-35,Female,Divorced,5,Medical,1
613,31,26-35,Male,Divorced,3,Life Sciences,7
614,18,18-25,Male,Single,3,Marketing,5
615,40,36-45,Male,Divorced,3,Other,28
616,41,36-45,Female,Single,4,Other,2
618,26,26-35,Male,Divorced,2,Medical,29
620,35,26-35,Female,Single,3,Medical,1
621,34,26-35,Male,Single,4,Life Sciences,21
622,26,26-35,Male,Single,3,Technical Degree,24
623,37,36-45,Female,Single,3,Technical Degree,1
624,46,46+,Female,Married,1,Medical,18
625,41,36-45,Female,Married,5,Life Sciences,2
626,37,36-45,Male,Divorced,4,Medical,9
630,52,46+,Male,Divorced,2,Technical Degree,6
631,32,26-35,Male,Married,4,Other,11
632,24,18-25,Male,Married,3,Medical,24
634,38,36-45,Female,Married,3,Medical,10
635,37,36-45,Female,Married,4,Life Sciences,1
638,49,46+,Male,Divorced,4,Life Sciences,18
639,24,18-25,Male,Married,3,Medical,23
641,26,26-35,Male,Married,2,Marketing,28
643,24,18-25,Male,Married,2,Other,17
644,50,46+,Male,Married,3,Medical,3
645,25,18-25,Male,Married,1,Medical,13
647,24,18-25,Female,Married,3,Life Sciences,7
648,30,26-35,Male,Married,4,Life Sciences,12
649,34,26-35,Male,Married,2,Life Sciences,1
650,31,26-35,Male,Divorced,4,Medical,13
652,35,26-35,Male,Single,2,Other,25
653,31,26-35,Male,Divorced,4,Medical,6
655,27,26-35,Female,Divorced,4,Medical,6
656,37,36-45,Male,Married,3,Marketing,2
657,20,18-25,Female,Single,3,Life Sciences,1
659,42,36-45,Female,Married,4,Life Sciences,2
661,43,36-45,Male,Divorced,4,Other,6
662,38,36-45,Female,Single,1,Life Sciences,1
663,43,36-45,Male,Divorced,5,Medical,9
664,48,46+,Female,Married,4,Life Sciences,1
665,44,36-45,Female,Single,4,Life Sciences,1
666,34,26-35,Female,Divorced,3,Technical Degree,14
667,27,26-35,Male,Divorced,1,Marketing,2
669,21,18-25,Male,Single,1,Technical Degree,22
671,44,36-45,Male,Married,4,Other,3
675,22,18-25,Male,Married,1,Medical,6
677,33,26-35,Male,Divorced,4,Marketing,8
679,32,26-35,Female,Married,4,Life Sciences,9
680,30,26-35,Female,Divorced,3,Medical,3
682,53,46+,Female,Single,1,Medical,1
683,34,26-35,Male,Married,5,Life Sciences,1
684,45,36-45,Female,Married,4,Life Sciences,26
686,26,26-35,Female,Married,3,Life Sciences,6
689,37,36-45,Male,Married,3,Other,3
690,29,26-35,Female,Married,2,Medical,3
691,35,26-35,Male,Single,4,Life Sciences,6
692,33,26-35,Male,Divorced,3,Life Sciences,6
698,54,46+,Male,Married,4,Medical,19
699,36,36-45,Male,Divorced,2,Medical,9
700,27,26-35,Male,Single,4,Medical,3
701,20,18-25,Male,Single,1,Medical,10
702,33,26-35,Male,Single,3,Life Sciences,3
704,35,26-35,Male,Married,3,Life Sciences,3
705,23,18-25,Male,Married,3,Medical,4
707,25,18-25,Male,Married,3,Life Sciences,8
709,38,36-45,Female,Single,4,Marketing,7
710,29,26-35,Male,Divorced,4,Life Sciences,1
712,48,46+,Male,Married,1,Marketing,2
714,27,26-35,Female,Divorced,1,Medical,3
715,37,36-45,Male,Single,2,Life Sciences,10
716,50,46+,Male,Married,1,Medical,28
717,34,26-35,Female,Single,3,Medical,9
720,24,18-25,Female,Single,2,Life Sciences,3
721,39,36-45,Female,Single,4,Technical Degree,2
722,32,26-35,Male,Single,3,Marketing,10
723,50,46+,Male,Married,2,Technical Degree,8
724,38,36-45,Female,Single,4,Life Sciences,1
725,27,26-35,Female,Married,2,Life Sciences,1
727,32,26-35,Female,Single,2,Life Sciences,3
728,47,46+,Male,Single,4,Marketing,14
729,40,36-45,Male,Married,4,Life Sciences,5
730,53,46+,Male,Married,3,Life Sciences,7
731,41,36-45,Male,Divorced,4,Human Resources,10
732,60,46+,Male,Single,4,Marketing,16
733,27,26-35,Male,Divorced,2,Life Sciences,10
734,41,36-45,Male,Married,3,Human Resources,1
738,50,46+,Male,Married,4,Marketing,8
741,28,26-35,Female,Single,2,Life Sciences,1
742,36,36-45,Female,Married,3,Life Sciences,8
743,38,36-45,Female,Single,3,Life Sciences,1
744,44,36-45,Male,Single,3,Medical,24
746,47,46+,Female,Divorced,3,Medical,3
747,30,26-35,Male,Divorced,5,Marketing,27
749,29,26-35,Male,Single,3,Life Sciences,10
752,42,36-45,Male,Divorced,3,Medical,19
754,43,36-45,Male,Married,3,Life Sciences,15
757,34,26-35,Female,Single,2,Medical,8
758,23,18-25,Male,Married,1,Medical,9
760,39,36-45,Female,Married,3,Human Resources,3
762,56,46+,Male,Married,3,Medical,9
763,40,36-45,Female,Single,1,Medical,2
764,27,26-35,Female,Single,3,Medical,7
766,29,26-35,Male,Divorced,3,Marketing,10
769,53,46+,Male,Single,3,Life Sciences,6
771,35,26-35,Female,Divorced,4,Life Sciences,2
772,32,26-35,Male,Married,4,Life Sciences,24
773,38,36-45,Male,Married,5,Medical,2
775,34,26-35,Female,Divorced,5,Life Sciences,8
776,52,46+,Male,Married,4,Marketing,3
780,33,26-35,Male,Single,4,Other,1
781,25,18-25,Female,Single,1,Medical,26
783,45,36-45,Male,Single,2,Technical Degree,2
784,23,18-25,Male,Single,1,Medical,10
785,47,46+,Female,Single,2,Life Sciences,27
786,34,26-35,Male,Single,3,Other,2
787,55,46+,Male,Married,3,Medical,2
789,36,36-45,Male,Single,4,Life Sciences,8
791,52,46+,Male,Married,4,Medical,19
792,26,26-35,Female,Divorced,2,Life Sciences,1
793,29,26-35,Female,Married,3,Medical,27
796,26,26-35,Male,Single,3,Technical Degree,8
797,34,26-35,Female,Single,4,Life Sciences,1
799,54,46+,Female,Divorced,4,Medical,19
800,27,26-35,Male,Married,1,Marketing,8
802,37,36-45,Female,Divorced,1,Life Sciences,10
803,38,36-45,Female,Single,4,Life Sciences,2
804,34,26-35,Female,Single,4,Medical,2
805,35,26-35,Female,Married,4,Life Sciences,8
806,30,26-35,Male,Married,3,Life Sciences,1
807,40,36-45,Female,Married,2,Medical,2
