EmployeeNumber,DepartmentID,SatisfactionID,Attrition,AttritionFlag,OverTime,OvertimeRisk,YearsAtCompany,TenureCategory,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,BusinessTravel,JobLevel,JobInvolvement,AttritionRiskScore,RetentionSegment
85,4,51,No,0,No,Low Risk,6,Mid Tenure,6,5,0,3,1,3,3,Travel_Frequently,2,2,0,Safe
86,2,14,No,0,No,Low Risk,1,New Employee,25,0,0,0,2,2,3,Travel_Rarely,3,3,3,Safe
88,2,24,No,0,No,Low Risk,3,Mid Tenure,5,2,1,2,4,2,3,Travel_Frequently,1,3,2,Safe
90,2,52,Yes,1,Yes,High Risk,1,New Employee,2,0,0,0,0,0,3,Travel_Rarely,1,2,5,At Risk
91,1,11,No,0,No,Low Risk,4,Mid Tenure,20,3,1,3,7,2,3,Travel_Frequently,2,2,0,Safe
94,2,2,No,0,No,Low Risk,5,Mid Tenure,6,4,0,4,0,3,4,Travel_Rarely,1,3,2,Safe
95,2,53,No,0,No,Low Risk,1,New Employee,1,1,1,0,1,4,3,Travel_Rarely,1,3,2,Safe
96,2,54,No,0,No,Low Risk,10,Long Tenure,10,4,0,9,1,3,3,Travel_Rarely,2,3,3,Safe
97,3,55,No,0,No,Low Risk,1,New Employee,5,0,0,0,3,3,3,Travel_Rarely,1,4,2,Safe
98,4,20,No,0,No,Low Risk,11,Long Tenure,11,7,1,8,1,2,4,Travel_Rarely,2,3,0,Safe
100,1,19,No,0,No,Low Risk,15,Long Tenure,16,13,2,8,0,2,3,Travel_Rarely,2,2,3,Safe
101,8,56,No,0,Yes,High Risk,0,New Employee,17,0,0,0,4,3,3,Travel_Rarely,3,3,3,Safe
102,8,57,No,0,No,Low Risk,5,Mid Tenure,16,2,0,2,4,3,3,Travel_Rarely,3,3,3,Safe
103,10,58,No,0,Yes,High Risk,4,Mid Tenure,16,2,0,2,8,2,4,Travel_Rarely,2,3,3,Safe
104,3,6,No,0,Yes,High Risk,10,Long Tenure,10,8,3,0,1,1,3,Travel_Rarely,2,2,3,Safe
105,2,59,No,0,No,Low Risk,6,Mid Tenure,6,4,0,4,1,3,3,Travel_Rarely,1,2,5,At Risk
106,1,23,No,0,No,Low Risk,1,New Employee,24,0,1,0,3,4,3,Travel_Rarely,3,3,0,Safe
107,2,60,No,0,Yes,High Risk,13,Long Tenure,17,11,1,9,7,3,3,Non-Travel,2,1,3,Safe
110,4,9,No,0,No,Low Risk,5,Mid Tenure,5,2,1,3,1,2,3,Travel_Rarely,2,3,3,Safe
112,4,61,No,0,No,Low Risk,6,Mid Tenure,37,4,0,2,4,3,3,Travel_Rarely,3,1,0,Safe
113,7,44,No,0,No,Low Risk,0,New Employee,3,0,0,0,3,3,3,Travel_Rarely,1,3,3,Safe
116,3,62,No,0,No,Low Risk,4,Mid Tenure,10,2,0,3,3,4,4,Travel_Rarely,1,3,2,Safe
117,5,63,No,0,No,Low Risk,11,Long Tenure,11,10,10,8,1,3,3,Travel_Rarely,2,2,1,Safe
118,1,20,Yes,1,No,Low Risk,9,Long Tenure,9,8,4,7,1,3,3,Travel_Rarely,3,2,1,Safe
119,5,64,No,0,No,Low Risk,22,Long Tenure,22,3,11,11,1,3,4,Travel_Frequently,4,2,1,Safe
120,1,65,No,0,Yes,High Risk,10,Long Tenure,11,7,1,0,0,2,4,Travel_Rarely,2,3,3,Safe
121,1,66,No,0,Yes,High Risk,11,Long Tenure,11,8,2,7,1,4,3,Travel_Rarely,2,2,3,Safe
124,5,67,No,0,Yes,High Risk,10,Long Tenure,21,9,9,5,2,5,3,Travel_Frequently,3,2,4,At Risk
125,1,59,No,0,No,Low Risk,11,Long Tenure,12,8,5,7,1,0,3,Travel_Rarely,2,3,4,At Risk
126,8,68,No,0,No,Low Risk,4,Mid Tenure,16,3,0,3,9,5,3,Travel_Rarely,3,3,3,Safe
128,1,69,No,0,No,Low Risk,3,Mid Tenure,4,2,0,2,0,2,4,Travel_Rarely,2,3,4,At Risk
129,1,70,No,0,No,Low Risk,5,Mid Tenure,5,4,0,4,1,3,3,Non-Travel,2,3,0,Safe
131,1,71,No,0,No,Low Risk,37,Long Tenure,38,10,1,8,0,1,3,Travel_Rarely,4,3,0,Safe
132,3,72,No,0,No,Low Risk,3,Mid Tenure,17,2,1,2,4,3,3,Non-Travel,2,3,2,Safe
133,10,73,Yes,1,Yes,High Risk,3,Mid Tenure,7,2,0,2,4,3,4,Travel_Rarely,1,3,5,At Risk
134,2,35,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,2,3,Travel_Rarely,1,3,2,Safe
137,3,62,Yes,1,Yes,High Risk,1,New Employee,1,0,1,0,1,5,3,Travel_Frequently,1,2,6,At Risk
138,2,30,No,0,No,Low Risk,16,Long Tenure,16,13,2,10,1,3,3,Travel_Rarely,2,3,0,Safe
139,5,74,No,0,No,Low Risk,1,New Employee,17,0,0,0,5,2,3,Non-Travel,2,2,0,Safe
140,11,20,No,0,No,Low Risk,3,Mid Tenure,30,2,2,2,9,3,4,Non-Travel,5,2,0,Safe
141,8,75,No,0,Yes,High Risk,8,Long Tenure,28,3,0,7,3,1,3,Travel_Frequently,5,3,6,At Risk
142,1,76,Yes,1,Yes,High Risk,6,Mid Tenure,6,4,0,3,1,1,3,Travel_Rarely,2,2,4,At Risk
143,2,18,No,0,No,Low Risk,2,New Employee,2,2,2,1,1,2,3,Travel_Rarely,1,2,3,Safe
144,3,12,No,0,No,Low Risk,0,New Employee,1,0,0,0,1,5,3,Travel_Rarely,1,3,3,Safe
145,5,77,No,0,No,Low Risk,13,Long Tenure,23,12,12,8,3,1,4,Travel_Frequently,3,2,4,At Risk
147,3,41,Yes,1,Yes,High Risk,9,Long Tenure,9,7,0,6,1,3,4,Travel_Frequently,2,1,3,Safe
148,11,18,No,0,Yes,High Risk,5,Mid Tenure,23,3,4,4,2,3,3,Non-Travel,4,4,4,At Risk
150,3,38,No,0,No,Low Risk,5,Mid Tenure,6,3,1,2,0,2,3,Travel_Rarely,1,3,3,Safe
151,2,78,No,0,No,Low Risk,1,New Employee,12,0,0,0,6,3,3,Travel_Rarely,2,2,0,Safe
152,1,63,No,0,No,Low Risk,5,Mid Tenure,12,3,1,3,2,3,3,Travel_Rarely,3,3,0,Safe
153,9,73,No,0,No,Low Risk,11,Long Tenure,14,10,5,8,2,6,3,Travel_Rarely,3,2,1,Safe
154,1,12,No,0,No,Low Risk,9,Long Tenure,10,7,2,8,0,6,3,Travel_Frequently,3,3,0,Safe
155,3,79,No,0,No,Low Risk,1,New Employee,7,0,0,0,5,2,4,Travel_Rarely,1,3,5,At Risk
158,6,74,No,0,Yes,High Risk,25,Long Tenure,25,12,4,12,1,3,3,Travel_Frequently,4,3,4,At Risk
159,2,36,No,0,No,Low Risk,10,Long Tenure,10,7,0,9,1,2,4,Travel_Frequently,1,1,2,Safe
160,1,80,No,0,No,Low Risk,7,Mid Tenure,8,7,0,7,0,2,3,Non-Travel,2,3,3,Safe
161,2,39,Yes,1,Yes,High Risk,5,Mid Tenure,7,4,4,3,9,2,3,Travel_Rarely,1,3,7,Flight Risk
162,8,30,No,0,No,Low Risk,20,Long Tenure,23,18,15,15,7,5,3,Travel_Rarely,5,3,1,Safe
163,1,81,Yes,1,Yes,High Risk,7,Mid Tenure,12,7,7,7,4,3,3,Travel_Rarely,2,1,4,At Risk
164,2,82,No,0,No,Low Risk,5,Mid Tenure,5,4,4,3,1,3,3,Travel_Rarely,1,2,3,Safe
165,5,46,Yes,1,No,Low Risk,40,Long Tenure,40,10,15,6,1,3,3,Travel_Rarely,3,3,1,Safe
167,7,29,Yes,1,Yes,High Risk,0,New Employee,0,0,0,0,1,2,3,Travel_Rarely,1,3,6,At Risk
169,3,34,No,0,No,Low Risk,2,New Employee,3,1,2,1,0,2,3,Travel_Rarely,1,3,3,Safe
170,4,67,No,0,No,Low Risk,15,Long Tenure,16,11,5,11,1,2,3,Travel_Rarely,2,3,1,Safe
171,2,37,No,0,No,Low Risk,3,Mid Tenure,18,2,1,2,4,2,3,Travel_Frequently,1,4,0,Safe
174,1,20,No,0,No,Low Risk,2,New Employee,16,2,2,1,4,3,3,Travel_Frequently,3,3,0,Safe
175,1,38,Yes,1,Yes,High Risk,2,New Employee,4,2,2,2,3,2,3,Travel_Rarely,2,1,3,Safe
176,1,83,No,0,Yes,High Risk,9,Long Tenure,12,7,0,7,3,2,3,Travel_Rarely,3,3,3,Safe
177,10,76,No,0,No,Low Risk,8,Long Tenure,8,7,5,7,1,3,4,Travel_Rarely,1,3,3,Safe
178,4,58,No,0,No,Low Risk,3,Mid Tenure,7,2,0,1,6,0,4,Travel_Rarely,2,3,0,Safe
179,4,23,Yes,1,No,Low Risk,4,Mid Tenure,18,2,0,3,2,2,3,Travel_Frequently,3,1,0,Safe
182,1,84,No,0,No,Low Risk,15,Long Tenure,17,11,5,9,4,1,3,Travel_Rarely,2,2,1,Safe
183,1,41,No,0,No,Low Risk,2,New Employee,6,2,2,2,2,3,3,Travel_Rarely,2,2,1,Safe
184,10,65,No,0,Yes,High Risk,11,Long Tenure,12,9,4,7,0,2,3,Travel_Rarely,2,3,4,At Risk
190,3,85,Yes,1,No,Low Risk,5,Mid Tenure,10,4,0,4,7,2,4,Travel_Rarely,1,3,3,Safe
192,2,86,No,0,No,Low Risk,6,Mid Tenure,9,5,0,3,5,2,3,Travel_Rarely,1,3,2,Safe
193,2,3,No,0,Yes,High Risk,3,Mid Tenure,19,2,2,2,3,2,4,Travel_Rarely,2,3,3,Safe
194,2,36,No,0,No,Low Risk,5,Mid Tenure,5,4,0,4,1,4,3,Travel_Rarely,1,3,2,Safe
195,1,25,No,0,No,Low Risk,8,Long Tenure,9,7,0,7,0,2,3,Travel_Frequently,2,1,0,Safe
197,2,35,No,0,No,Low Risk,3,Mid Tenure,8,2,2,2,5,3,3,Travel_Rarely,1,3,2,Safe
198,3,60,No,0,No,Low Risk,5,Mid Tenure,6,3,1,2,0,3,3,Travel_Rarely,1,2,2,Safe
199,9,87,No,0,No,Low Risk,7,Mid Tenure,21,6,7,7,4,2,3,Travel_Frequently,4,2,1,Safe
200,3,73,No,0,No,Low Risk,5,Mid Tenure,7,0,1,4,2,2,4,Travel_Rarely,1,3,2,Safe
201,3,58,No,0,No,Low Risk,1,New Employee,1,0,0,0,1,3,3,Travel_Rarely,1,3,3,Safe
202,2,39,No,0,No,Low Risk,20,Long Tenure,20,7,2,13,1,2,3,Travel_Frequently,2,3,3,Safe
204,1,88,No,0,No,Low Risk,10,Long Tenure,10,8,0,6,1,3,3,Travel_Rarely,3,3,3,Safe
205,7,89,No,0,Yes,High Risk,7,Mid Tenure,13,7,4,5,2,3,4,Travel_Rarely,2,3,6,At Risk
206,3,90,No,0,No,Low Risk,17,Long Tenure,20,9,0,15,8,2,3,Travel_Rarely,2,3,2,Safe
207,1,60,No,0,No,Low Risk,9,Long Tenure,9,8,3,7,1,2,3,Travel_Frequently,3,3,0,Safe
208,4,26,No,0,No,Low Risk,10,Long Tenure,10,7,0,9,1,1,3,Non-Travel,2,3,0,Safe
211,4,38,No,0,No,Low Risk,1,New Employee,10,0,0,0,2,2,3,Travel_Rarely,2,2,0,Safe
214,2,91,No,0,Yes,High Risk,1,New Employee,9,0,0,0,4,3,4,Travel_Rarely,1,2,8,Flight Risk
215,1,92,No,0,No,Low Risk,12,Long Tenure,15,11,2,11,7,2,3,Travel_Rarely,3,2,0,Safe
216,7,76,No,0,No,Low Risk,4,Mid Tenure,6,3,1,2,6,3,3,Travel_Frequently,1,3,2,Safe
217,2,63,No,0,No,Low Risk,2,New Employee,2,2,2,2,1,6,4,Travel_Rarely,1,3,3,Safe
218,2,93,No,0,No,Low Risk,2,New Employee,6,2,2,2,6,1,3,Non-Travel,1,3,2,Safe
221,2,94,No,0,No,Low Risk,5,Mid Tenure,5,2,0,2,1,2,3,Travel_Rarely,1,3,2,Safe
223,5,95,No,0,Yes,High Risk,5,Mid Tenure,12,3,1,4,3,2,3,Travel_Rarely,3,4,3,Safe
224,2,21,No,0,Yes,High Risk,1,New Employee,1,1,0,1,1,2,3,Non-Travel,1,2,5,At Risk
226,9,53,No,0,No,Low Risk,5,Mid Tenure,21,4,4,4,3,5,3,Travel_Rarely,5,3,1,Safe
227,2,96,No,0,No,Low Risk,9,Long Tenure,13,8,1,8,4,2,3,Travel_Rarely,1,3,5,At Risk
228,1,12,No,0,No,Low Risk,10,Long Tenure,12,9,7,4,2,2,3,Travel_Rarely,3,3,1,Safe
230,1,97,No,0,No,Low Risk,8,Long Tenure,12,3,0,7,4,2,4,Travel_Rarely,2,2,0,Safe
231,2,98,No,0,No,Low Risk,5,Mid Tenure,8,4,1,4,3,2,4,Travel_Rarely,1,3,2,Safe
233,2,64,No,0,Yes,High Risk,5,Mid Tenure,6,2,1,1,0,3,3,Travel_Rarely,1,3,5,At Risk
235,7,99,Yes,1,No,Low Risk,0,New Employee,1,0,0,0,0,5,4,Travel_Frequently,1,1,6,At Risk
238,3,100,No,0,No,Low Risk,8,Long Tenure,13,7,7,2,4,3,3,Travel_Frequently,1,3,3,Safe
239,3,44,No,0,No,Low Risk,12,Long Tenure,12,9,6,10,1,4,3,Non-Travel,2,3,3,Safe
240,1,99,No,0,Yes,High Risk,5,Mid Tenure,9,4,0,3,4,3,3,Travel_Rarely,2,3,6,At Risk
241,2,44,No,0,Yes,High Risk,2,New Employee,19,2,2,2,4,3,3,Travel_Rarely,1,3,3,Safe
242,2,101,No,0,No,Low Risk,3,Mid Tenure,4,1,0,2,0,2,3,Travel_Rarely,1,3,2,Safe
243,3,102,Yes,1,No,Low Risk,1,New Employee,1,0,1,0,1,3,4,Travel_Rarely,1,2,3,Safe
244,1,14,No,0,No,Low Risk,24,Long Tenure,24,13,15,7,1,2,4,Travel_Rarely,3,3,4,At Risk
245,3,34,No,0,No,Low Risk,2,New Employee,2,2,2,1,1,3,3,Travel_Rarely,1,3,2,Safe
246,2,34,No,0,Yes,High Risk,4,Mid Tenure,7,2,0,2,8,0,4,Travel_Rarely,1,3,3,Safe
247,2,103,No,0,No,Low Risk,3,Mid Tenure,9,2,1,2,2,3,3,Travel_Rarely,1,3,2,Safe
248,7,104,Yes,1,Yes,High Risk,4,Mid Tenure,4,3,0,2,1,5,4,Travel_Rarely,1,3,5,At Risk
249,3,21,No,0,No,Low Risk,3,Mid Tenure,5,2,0,2,2,2,3,Travel_Rarely,1,2,0,Safe
250,4,105,No,0,No,Low Risk,4,Mid Tenure,5,2,1,3,1,3,3,Travel_Rarely,2,4,0,Safe
252,2,103,No,0,No,Low Risk,8,Long Tenure,8,7,1,6,1,5,3,Travel_Rarely,1,3,2,Safe
253,9,3,No,0,No,Low Risk,20,Long Tenure,21,8,9,9,1,2,3,Travel_Rarely,5,3,1,Safe
254,8,2,No,0,No,Low Risk,24,Long Tenure,36,15,2,15,8,3,3,Travel_Rarely,5,4,0,Safe
256,4,71,No,0,No,Low Risk,10,Long Tenure,10,9,1,9,1,2,3,Travel_Frequently,2,2,0,Safe
258,5,106,No,0,No,Low Risk,7,Mid Tenure,21,7,1,0,3,6,3,Travel_Rarely,4,3,0,Safe
259,9,98,No,0,No,Low Risk,33,Long Tenure,34,18,11,9,0,5,3,Travel_Rarely,5,2,1,Safe
260,2,107,No,0,No,Low Risk,7,Mid Tenure,7,7,0,3,1,2,3,Travel_Rarely,1,3,2,Safe
261,4,59,Yes,1,Yes,High Risk,1,New Employee,8,0,0,1,3,1,3,Travel_Rarely,2,2,6,At Risk
262,2,25,No,0,No,Low Risk,5,Mid Tenure,7,4,2,2,4,3,3,Non-Travel,1,4,2,Safe
264,9,23,No,0,No,Low Risk,20,Long Tenure,22,8,11,8,9,1,4,Non-Travel,4,2,1,Safe
267,2,108,No,0,Yes,High Risk,8,Long Tenure,8,7,1,7,1,3,3,Travel_Rarely,1,4,8,Flight Risk
269,3,58,No,0,No,Low Risk,6,Mid Tenure,10,2,1,2,5,5,3,Travel_Frequently,2,3,0,Safe
270,4,13,No,0,No,Low Risk,5,Mid Tenure,11,3,0,2,2,5,3,Non-Travel,2,3,0,Safe
271,4,3,No,0,No,Low Risk,1,New Employee,14,0,0,0,9,3,3,Travel_Rarely,2,3,0,Safe
273,4,109,No,0,No,Low Risk,7,Mid Tenure,9,7,1,7,3,3,3,Travel_Rarely,2,3,0,Safe
274,4,44,No,0,No,Low Risk,2,New Employee,6,2,2,0,5,1,3,Travel_Frequently,2,2,0,Safe
275,4,31,No,0,Yes,High Risk,7,Mid Tenure,7,7,1,7,1,0,3,Non-Travel,2,3,3,Safe
277,2,110,No,0,Yes,High Risk,5,Mid Tenure,5,3,2,0,1,4,3,Travel_Frequently,1,3,3,Safe
281,3,111,No,0,Yes,High Risk,7,Mid Tenure,15,2,3,7,8,2,3,Travel_Rarely,2,3,5,At Risk
282,5,22,Yes,1,Yes,High Risk,1,New Employee,17,0,0,0,7,2,3,Travel_Rarely,2,3,6,At Risk
283,1,112,Yes,1,No,Low Risk,10,Long Tenure,10,4,1,9,1,3,4,Travel_Rarely,3,3,0,Safe
284,2,113,No,0,Yes,High Risk,4,Mid Tenure,4,2,2,2,1,2,3,Travel_Rarely,1,4,6,At Risk
286,3,114,No,0,No,Low Risk,8,Long Tenure,8,1,1,7,1,2,3,Travel_Frequently,1,3,2,Safe
287,5,115,No,0,No,Low Risk,3,Mid Tenure,5,2,0,2,9,5,3,Non-Travel,2,2,0,Safe
288,5,105,No,0,No,Low Risk,4,Mid Tenure,17,2,0,3,7,3,3,Travel_Rarely,3,3,0,Safe
291,1,6,Yes,1,No,Low Risk,14,Long Tenure,14,8,9,8,1,2,3,Travel_Rarely,3,1,1,Safe
292,4,83,No,0,No,Low Risk,11,Long Tenure,12,8,5,8,1,2,4,Non-Travel,3,2,1,Safe
293,1,10,No,0,No,Low Risk,7,Mid Tenure,7,7,0,7,1,2,3,Travel_Frequently,2,3,0,Safe
296,8,116,No,0,No,Low Risk,10,Long Tenure,16,9,4,7,5,5,3,Travel_Rarely,3,2,1,Safe
297,2,105,Yes,1,Yes,High Risk,5,Mid Tenure,8,2,0,4,5,5,3,Travel_Rarely,1,3,5,At Risk
298,6,18,No,0,Yes,High Risk,1,New Employee,16,0,0,0,3,3,3,Travel_Rarely,3,3,3,Safe
299,1,67,Yes,1,No,Low Risk,6,Mid Tenure,9,3,0,1,5,5,3,Travel_Frequently,2,2,0,Safe
300,2,21,Yes,1,No,Low Risk,6,Mid Tenure,7,2,1,5,0,1,3,Travel_Rarely,1,3,2,Safe
302,1,40,No,0,No,Low Risk,19,Long Tenure,23,7,12,8,6,2,3,Non-Travel,3,2,1,Safe
303,1,35,No,0,No,Low Risk,6,Mid Tenure,16,2,0,5,2,4,3,Travel_Rarely,2,3,0,Safe
304,3,117,No,0,No,Low Risk,13,Long Tenure,16,11,3,7,8,3,3,Travel_Rarely,2,3,0,Safe
305,2,2,No,0,No,Low Risk,3,Mid Tenure,7,2,1,1,6,3,4,Travel_Rarely,1,2,2,Safe
306,8,12,No,0,Yes,High Risk,10,Long Tenure,10,8,0,7,1,1,3,Travel_Frequently,3,3,3,Safe
307,1,36,No,0,No,Low Risk,16,Long Tenure,17,10,5,13,0,6,3,Travel_Rarely,3,3,1,Safe
308,4,76,No,0,No,Low Risk,5,Mid Tenure,6,4,1,4,0,2,3,Non-Travel,2,1,0,Safe
